index,station,address,latitude,longitude
0,Station 1,935 Folsom at 5th Street,38.0484816,-122.1492416
1,Station 2,1340 Powell Street at Broadway,37.797054,-122.4100481
2,Station 3,1067 Post Street at Polk Street,37.78663,-122.4193178
3,Station 4,449 Mission Rock at 3rd StreetÂ ,37.7727739,-122.38923
4,Station 5,1301 Turk Street at Webster Street,37.7804883,-122.4307544
5,Station 6,135 Sanchez Street at Henry Street,37.7670884,-122.4307544
6,Station 7,2300 Folsom Street at 19th Street,37.7602611,-122.4151762
7,Station 8,36 Bluxome Street at 4th Street,37.7771938,-122.3966579
8,Station 9,2245 Jerrold Avenue at Upton Street,37.7452422,-122.4012865
9,Station 10,655 Presidio Avenue at Bush Street,37.7857943,-122.4466681
10,Station 11,3880 26th Street at Church Street,37.7488113,-122.4265073
11,Station 12,1145 Stanyan Street at Grattan Street,37.7634904,-122.4526067
12,Station 13,530 Sansome Street at Washington Street,37.7955519,-122.4014108
13,Station 14,551 26th Avenue at Geary Boulevard,37.7790053,-122.4859487
14,Station 15,1000 Ocean Avenue at Phelan Avenue,37.723487,-122.4528824
15,Station 16,2251 Greenwich Street at Fillmore Street,37.7986457,-122.4367488
16,Station 17,1295 Shafter Avenue at Ingalls Street,37.72752029999999,-122.3850004
17,Station 18,1935 32nd Avenue at Ortega Street,37.7509752,-122.4904843
18,Station 19,390 Buckingham Way at Winston Street,37.7278247,-122.4789648
19,Station 20,285 Olympia Way at Clarendon Avenue,37.7511704,-122.456224
20,Station 21,1443 Grove Street at Broderick Street,37.7754638,-122.4403098
21,Station 22,1290 16th Avenue at Irving Street,37.7639903,-122.4736446
22,Station 23,1348 45th Avenue at Judah Street,37.7614187,-122.5046753
23,Station 24,100 Hoffman Avenue at Alvarado Street,37.7530983,-122.4411172
24,Station 25,3305 3rd Street at Cargo Way,37.7466189,-122.3868593
25,Station 26,80 Digby Street at Addison Street,37.7402791,-122.4333702
26,Station 28,1814 Stockton Street at Greenwich Street,37.8025552,-122.40934
27,Station 29,299 Vermont Street at 16th Street,37.7661867,-122.4043841
28,Station 31,441 12th Avenue at Geary Boulevard,37.7798822,-122.4709166
29,Station 32,194 Park Street at Holly Park Circle,37.7364417,-122.4212155
30,Station 33,8 Capitol Avenue at Sagamore Street,37.7108767,-122.4585998
31,Station 34,499 41st Avenue at Geary Boulevard,37.7794434,-122.5027028
32,Station 35,Pier 22 The Embarcadero at Harrison Street,37.7901998,-122.3884648
33,Station 36,109 Oak Street at Franklin Street,40.727996,-73.9564863
34,Station 37,798 Wisconsin Street at 22nd Street,37.7574006,-122.3992288
35,Station 38,2150 California Street at Laguna Street,37.7896652,-122.4299581
36,Station 39,1091 Portola Drive at Miraloma Drive,37.7400312,-122.4586575
37,Station 40,2155 18th Avenue at Rivera Street,37.7476245,-122.4751846
38,Station 41,1325 Leavenworth Street at Jackson Street,37.7934047,-122.4165303
39,Station 42,2430 San Bruno Avenue at Silver Avenue,37.7315829,-122.4055568
40,Station 43,720 Moscow Street at France Avenue,37.7163399,-122.4316939
41,Station 44,1298 Girard Street at Wilde Avenue,37.7166344,-122.4004976
42,Station 48,800 Avenue I at 10th Street Treasure Island,37.8198939,-122.3663621
43,Station 49,1415 Evans Avenue at Mendell Street,37.740773,-122.3853345
44,Station 51,218 Lincoln Blvd at Keyes Avenue,34.0017738,-118.4682459
